level_0,source_id,url,price_man_yen,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,image_count,rooms_num,base_layout,luxury_bathroom,luxury_bedroom,luxury_kitchen,luxury_living_room,luxury_toilet,brightness_bathroom,brightness_bedroom,brightness_kitchen,brightness_living_room,brightness_toilet,condition_bathroom,condition_bedroom,condition_kitchen,condition_living_room,condition_toilet,latitude,longitude,station_avg_price_man_yen,station_avg_price_per_sqm,station_listing_count,building_period,predicted_price,deal
1,20277732,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20277732/,2390.0,52.89,1989,4.0,4.0,東京都足立区六月１,竹ノ塚駅,16.0,24,2,LDK,0.5,0.35,0.5,,0.35,0.775,0.72,0.775,,0.55,0.8925,0.85,0.875,,0.85,35.786911,139.800232,3328.6666666666665,46.85845710685653,9,1981 to 2000,2390.0,Standard Price
2,20332918,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20332918/,1580.0,29.16,1976,6.0,9.0,東京都足立区東和５,北綾瀬駅,12.0,31,1,DK,0.55,0.55,0.2875,,0.55,0.7,0.825,0.7875,,0.75,0.95,0.95,0.8875,,0.85,35.775234,139.838226,3534.230769230769,58.6523266911045,13,pre 1981,1580.0,Standard Price
3,20344616,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20344616/,2380.0,53.04,1974,3.0,8.0,東京都足立区梅田７-22-9,梅島駅,7.0,27,2,LDK,0.35,0.475,0.55,,0.65,0.65,0.8200000000000001,0.75,,0.75,0.8666666666666667,0.93,0.95,,0.95,35.769596,139.801437,4031.3333333333335,58.18568165548268,6,pre 1981,3015.0,Good Deal
4,78385243,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78385243/,1700.0,40.1,1985,1.0,5.0,東京都足立区青井１-16-9,青井駅,10.0,11,2,DK,0.2166666666666666,0.5,,,,0.6666666666666666,0.7749999999999999,,,,0.8166666666666668,0.85,,,,35.775417,139.814651,1700.0,42.39401496259352,1,1981 to 2000,1700.0,Standard Price
5,78151350,https://suumo.jp/ms/chuko/tokyo/sc_bunkyo/nc_78151350/,1800.0,26.29,1977,5.0,5.0,東京都文京区小石川５,茗荷谷駅,9.0,11,1,DK,0.3,0.4,0.4,,,0.525,0.685,0.65,,,0.7749999999999999,0.85,0.8,,,35.718056,139.739929,12146.35294117647,194.42811604006044,17,pre 1981,3422.0,Good Deal
6,20198657,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20198657/,1880.0,51.0,1974,1.0,7.0,東京都板橋区常盤台３,上板橋駅,8.0,28,2,LDK,0.3166666666666666,0.6000000000000001,0.5,0.685,,0.75,0.8,0.7,0.85,,0.8833333333333333,0.95,0.875,0.95,,35.762047,139.68399,4711.428571428572,76.01943458951253,7,pre 1981,3570.0,Good Deal
8,20293606,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20293606/,1380.0,44.36,1974,2.0,6.0,東京都葛飾区金町１,金町駅,9.0,14,2,DK,0.15,0.25,0.25,,0.15,0.65,0.75,0.55,,0.45,0.55,0.7,0.65,,0.65,35.762589,139.866165,6284.583333333333,93.79341030754846,12,pre 1981,1380.0,Standard Price
9,20319433,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20319433/,2390.0,46.0,1981,7.0,7.0,東京都葛飾区白鳥２,お花茶屋駅,7.0,29,1,LDK,0.4166666666666667,,0.5733333333333334,0.55,0.35,0.6166666666666667,,0.7633333333333333,0.85,0.65,0.9,,0.94,0.95,0.85,35.748646,139.844696,3958.285714285714,63.18956788922458,7,1981 to 2000,2390.0,Standard Price
10,20340557,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20340557/,2380.0,61.57,1980,3.0,3.0,東京都葛飾区青戸４,青砥駅,9.0,28,2,LDK,,0.275,,,,,0.7749999999999999,,,,,0.825,,,,35.75042,139.850464,5302.571428571428,78.24535407998705,7,pre 1981,2380.0,Standard Price
11,20025032,https://suumo.jp/ms/chuko/tokyo/sc_minato/nc_20025032/,2350.0,26.96,1974,4.0,7.0,東京都港区芝浦２-13-6,田町駅,7.0,25,1,K,0.2166666666666666,0.55,,0.35,0.15,0.65,0.8,,0.7,0.7,0.4833333333333334,0.9,,0.75,0.55,35.643688,139.751511,18779.01818181818,261.2012111566472,55,pre 1981,2350.0,Standard Price
