source_id,url,price_man_yen,layout,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,image_count
20277732,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20277732/,2390.0,2LDK,52.89,1989,4.0,4.0,東京都足立区六月１ [ ■ 周辺環境 ],竹ノ塚駅,16.0,24
20332918,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20332918/,1580.0,1DK,29.16,1976,6.0,9.0,東京都足立区東和５ [ ■ 周辺環境 ],北綾瀬駅,12.0,31
20344616,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20344616/,2380.0,2LDK,53.04,1974,3.0,8.0,東京都足立区梅田７-22-9 [ ■ 周辺環境 ],梅島駅,7.0,27
78385243,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78385243/,1700.0,2DK,40.1,1985,1.0,5.0,東京都足立区青井１-16-9 [ ■ 周辺環境 ],青井駅,10.0,11
78151350,https://suumo.jp/ms/chuko/tokyo/sc_bunkyo/nc_78151350/,1800.0,1DK,26.29,1977,5.0,5.0,東京都文京区小石川５ [ ■ 周辺環境 ],茗荷谷駅,9.0,11
20198657,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20198657/,1880.0,2LDK,51.0,1974,1.0,7.0,東京都板橋区常盤台３ [ ■ 周辺環境 ],上板橋駅,8.0,28
20293606,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20293606/,1380.0,2DK,44.36,1974,2.0,6.0,東京都葛飾区金町１ [ ■ 周辺環境 ],金町駅,9.0,14
20319433,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20319433/,2390.0,1LDK,46.0,1981,7.0,7.0,東京都葛飾区白鳥２ [ ■ 周辺環境 ],お花茶屋駅,7.0,29
20340557,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20340557/,2380.0,2LDK,61.57,1980,3.0,3.0,東京都葛飾区青戸４ [ ■ 周辺環境 ],青砥駅,9.0,28
20025032,https://suumo.jp/ms/chuko/tokyo/sc_minato/nc_20025032/,2350.0,1K,26.96,1974,4.0,7.0,東京都港区芝浦２-13-6 [ ■ 周辺環境 ],田町駅,7.0,25
78328315,https://suumo.jp/ms/chuko/tokyo/sc_nakano/nc_78328315/,1580.0,2DK,37.57,1969,4.0,4.0,東京都中野区沼袋３-23-2 [ ■ 周辺環境 ],沼袋駅,5.0,24
20139608,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_20139608/,1380.0,2K,29.9,1980,4.0,4.0,東京都練馬区貫井３ [ ■ 周辺環境 ],富士見台駅,2.0,21
77672802,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_77672802/,1880.0,1LDK,38.98,1968,1.0,8.0,東京都練馬区貫井３-14-12 [ ■ 周辺環境 ],富士見台駅,2.0,22
79073711,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_79073711/,1780.0,1LDK,36.4,1976,3.0,3.0,東京都練馬区谷原５ [ ■ 周辺環境 ],石神井公園駅,18.0,26
79127288,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_79127288/,1780.0,1LDK,34.02,1970,2.0,7.0,東京都練馬区東大泉１ [ ■ 周辺環境 ],大泉学園駅,5.0,28
20314925,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20314925/,1880.0,1DK,32.06,1976,2.0,3.0,東京都大田区仲六郷１ [ ■ 周辺環境 ],雑色駅,5.0,27
78674406,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_78674406/,2280.0,1LDK,41.31,1972,1.0,10.0,東京都大田区千鳥１-25-5 [ ■ 周辺環境 ],千鳥町駅,3.0,10
